invoice_no,customer_id,category,quantity,price,payment_method,invoice_date,shopping_mall
I138884,229,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon
I317333,3433,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
I127801,644,Clothing,1,300.08,Cash,9/11/2021,Metrocity
I173702,4900,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM
I337046,1089,Books,4,60.6,Cash,24/10/2021,Kanyon
I227836,349,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul
I121056,158,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park
I293112,2423,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul
I293455,3208,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity
I326945,1575,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon
I306368,1002,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity
I139207,195,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall
I640508,806,Toys,4,143.36,Debit Card,31/07/2022,Metrocity
I179802,731,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM
I336189,238,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon
I688768,2184,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet
I294687,236,Books,2,30.3,Debit Card,16/01/2021,Metrocity
I195744,429,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center
I993048,137,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM
I992454,562,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM
I183746,3047,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall
I412481,1214,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM
I823067,459,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM
I252275,279,Technology,5,5250.0,Cash,26/10/2021,Kanyon
I174250,592,Books,5,75.75,Cash,16/12/2022,Metrocity
I195396,874,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park
I196704,2886,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul
I217053,420,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall
I655874,3875,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM
I209744,111,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park
I161949,943,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul
I331891,165,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall
I768348,531,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon
I109053,2681,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity
I167211,1059,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center
I339732,3230,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall
I147062,31,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon
I187519,739,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity
I106674,958,Clothing,2,600.16,Cash,27/02/2022,Kanyon
I473411,754,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM
I246550,351,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center
I138674,661,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM
I752693,1003,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity
I826174,955,Shoes,4,2400.68,Cash,20/06/2022,Metrocity
I296025,25,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon
I117291,1184,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center
I267193,187,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul
I205366,1979,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center
I269690,191,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center
I304265,244,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul
I246562,117,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall
I202367,1018,Books,3,45.45,Cash,24/02/2023,Istinye Park
I664787,359,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park
I160777,2153,Technology,4,4200.0,Cash,22/02/2022,Metrocity
I137794,2080,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet
I148377,2069,Clothing,1,300.08,Cash,2/1/2022,Istinye Park
I258195,3380,Toys,2,71.68,Cash,26/11/2021,Kanyon
I300213,13,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon
I263803,40,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon
I335713,1460,Books,4,60.6,Cash,14/12/2021,Kanyon
I133061,3219,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul
I207205,907,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon
I209289,127,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon
I157285,2161,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul
I218590,1054,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM
I181109,375,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul
I221715,70,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM
I204979,821,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park
I115146,663,Cosmetics,5,203.3,Cash,27/04/2022,Metrocity
I883721,563,Technology,5,5250.0,Credit Card,19/11/2021,Mall of Istanbul
I402376,2957,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul
I251356,152,Cosmetics,4,162.64,Cash,4/9/2021,Kanyon
I292239,150,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul
I276526,1445,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall
I260525,50,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall
I870944,360,Souvenir,3,35.19,Credit Card,8/6/2021,Cevahir AVM
I739573,191,Clothing,5,1500.4,Debit Card,17/04/2021,Kanyon
I115870,988,Shoes,4,2400.68,Cash,4/9/2021,Metrocity
I190444,352,Food & Beverage,5,26.15,Cash,20/07/2022,Mall of Istanbul
I309552,68,Food & Beverage,4,20.92,Credit Card,14/07/2021,Istinye Park
I306076,21,Toys,2,71.68,Cash,1/11/2022,Emaar Square Mall
I321683,3947,Cosmetics,4,162.64,Credit Card,6/1/2023,Metrocity
I151332,533,Souvenir,2,23.46,Cash,25/03/2021,Kanyon
I340014,300,Clothing,2,600.16,Credit Card,8/9/2022,Istinye Park
I249424,28,Food & Beverage,1,5.23,Cash,18/02/2022,Mall of Istanbul
I227716,203,Food & Beverage,2,10.46,Cash,22/04/2021,Kanyon
I140663,18,Clothing,5,1500.4,Cash,15/10/2022,Zorlu Center
I253242,830,Shoes,5,3000.85,Cash,7/4/2022,Mall of Istanbul
I108359,141,Food & Beverage,1,5.23,Cash,7/6/2022,Mall of Istanbul
I195567,311,Clothing,4,1200.32,Debit Card,22/01/2023,Metropol AVM
I289643,1188,Technology,2,2100.0,Cash,22/08/2022,Kanyon
I722319,223,Toys,1,35.84,Debit Card,3/10/2021,Kanyon
I317105,26,Souvenir,5,58.65,Debit Card,29/07/2021,Kanyon
I215721,2393,Cosmetics,2,81.32,Debit Card,16/12/2022,Metrocity
I154469,764,Toys,3,107.52,Debit Card,3/6/2021,Mall of Istanbul
I172458,376,Clothing,2,600.16,Debit Card,17/12/2021,Cevahir AVM
I297270,158,Clothing,5,1500.4,Credit Card,31/12/2022,Metropol AVM
I153930,497,Food & Beverage,3,15.69,Cash,9/8/2022,Forum Istanbul
I282854,267,Clothing,3,900.24,Cash,31/07/2022,Kanyon
I869144,2977,Food & Beverage,4,20.92,Debit Card,4/5/2021,Mall of Istanbul
I283443,5658,Technology,3,3150.0,Credit Card,25/05/2022,Viaport Outlet
I193271,1924,Food & Beverage,3,15.69,Debit Card,23/12/2022,Kanyon
I985478,1554,Clothing,4,1200.32,Credit Card,24/01/2023,Kanyon
I200392,1835,Clothing,5,1500.4,Credit Card,14/09/2021,Viaport Outlet
I256691,571,Cosmetics,1,40.66,Cash,4/2/2022,Metrocity
I796162,676,Food & Beverage,5,26.15,Credit Card,6/1/2022,Metrocity
I224371,2854,Clothing,5,1500.4,Credit Card,1/2/2022,Mall of Istanbul
I215998,89,Clothing,5,1500.4,Cash,26/10/2022,Cevahir AVM
I338966,653,Clothing,5,1500.4,Cash,21/09/2022,Mall of Istanbul
I293215,53,Cosmetics,4,162.64,Credit Card,12/12/2021,Istinye Park
I149688,263,Clothing,4,1200.32,Cash,21/08/2021,Zorlu Center
I109649,1293,Food & Beverage,3,15.69,Debit Card,8/10/2021,Emaar Square Mall
I299820,276,Books,3,45.45,Cash,22/11/2021,Kanyon
I157775,794,Clothing,1,300.08,Cash,19/03/2022,Kanyon
I317140,600,Souvenir,5,58.65,Cash,19/10/2022,Istinye Park
I147334,1105,Clothing,2,600.16,Cash,12/1/2022,Viaport Outlet
I278121,285,Toys,4,143.36,Debit Card,7/6/2021,Metrocity
I134452,1664,Clothing,1,300.08,Credit Card,15/01/2023,Forum Istanbul
I320846,570,Clothing,4,1200.32,Credit Card,11/11/2021,Kanyon
I740676,375,Clothing,2,600.16,Credit Card,21/09/2022,Istinye Park
I142331,2225,Cosmetics,4,162.64,Debit Card,30/05/2021,Metrocity
I222983,4116,Clothing,1,300.08,Credit Card,23/12/2021,Metropol AVM
I164665,600,Technology,2,2100.0,Cash,30/04/2022,Kanyon
I133387,253,Toys,4,143.36,Cash,7/6/2021,Forum Istanbul
I276763,66,Toys,5,179.2,Debit Card,21/02/2022,Kanyon
I273890,195,Clothing,3,900.24,Debit Card,26/08/2021,Emaar Square Mall
I774221,1185,Food & Beverage,5,26.15,Cash,15/12/2021,Metrocity
I202171,1003,Clothing,1,300.08,Debit Card,20/02/2021,Mall of Istanbul
I219780,1530,Clothing,2,600.16,Cash,8/10/2021,Kanyon
I160221,1088,Clothing,3,900.24,Cash,1/8/2022,Mall of Istanbul
I106691,3510,Clothing,4,1200.32,Cash,9/9/2021,Kanyon
I129886,56,Food & Beverage,5,26.15,Cash,25/10/2021,Metrocity
I745394,284,Food & Beverage,1,5.23,Cash,14/12/2021,Metropol AVM
I157056,293,Clothing,5,1500.4,Cash,20/06/2021,Kanyon
I304531,639,Clothing,1,300.08,Debit Card,7/4/2021,Metropol AVM
I762439,615,Books,4,60.6,Cash,5/12/2021,Metrocity
I300972,1176,Cosmetics,1,40.66,Credit Card,25/05/2021,Zorlu Center
I151588,1336,Books,3,45.45,Credit Card,12/4/2022,Metrocity
I657069,1442,Clothing,4,1200.32,Cash,16/12/2021,Mall of Istanbul
I122655,3531,Technology,2,2100.0,Credit Card,21/02/2021,Metropol AVM
I236914,2060,Clothing,3,900.24,Cash,26/10/2021,Mall of Istanbul
I247471,841,Toys,1,35.84,Cash,18/12/2022,Mall of Istanbul
I362306,1377,Clothing,1,300.08,Credit Card,19/09/2022,Metrocity
I215279,2610,Clothing,2,600.16,Credit Card,1/2/2023,Kanyon
I216061,26,Food & Beverage,3,15.69,Credit Card,5/10/2022,Mall of Istanbul
I246375,143,Cosmetics,2,81.32,Cash,28/11/2021,Kanyon
I103596,407,Shoes,5,3000.85,Cash,3/8/2021,Kanyon
I259878,17,Clothing,4,1200.32,Credit Card,12/10/2022,Metropol AVM
I206422,1328,Food & Beverage,2,10.46,Credit Card,28/09/2022,Kanyon
I201704,2847,Food & Beverage,3,15.69,Cash,12/7/2021,Metrocity
I168037,1898,Toys,4,143.36,Cash,3/7/2021,Mall of Istanbul
I307534,394,Cosmetics,4,162.64,Cash,26/03/2022,Viaport Outlet
I259196,539,Toys,4,143.36,Credit Card,17/05/2022,Cevahir AVM
I141241,211,Souvenir,5,58.65,Credit Card,11/4/2022,Kanyon
I289973,906,Food & Beverage,5,26.15,Credit Card,22/10/2021,Kanyon
I147203,803,Cosmetics,5,203.3,Cash,20/12/2021,Istinye Park
I323788,2113,Clothing,1,300.08,Credit Card,17/03/2022,Metropol AVM
I285454,839,Souvenir,5,58.65,Credit Card,23/06/2022,Metropol AVM
I288152,2523,Technology,3,3150.0,Debit Card,19/06/2021,Mall of Istanbul
I134126,311,Clothing,1,300.08,Debit Card,30/08/2022,Istinye Park
I311052,237,Clothing,4,1200.32,Cash,20/11/2021,Cevahir AVM
I176469,183,Food & Beverage,2,10.46,Credit Card,31/07/2021,Viaport Outlet
I167993,412,Toys,2,71.68,Cash,20/02/2022,Kanyon
I222086,782,Clothing,5,1500.4,Cash,9/2/2023,Emaar Square Mall
I164597,85,Clothing,1,300.08,Cash,24/03/2021,Mall of Istanbul
I184307,642,Food & Beverage,1,5.23,Credit Card,25/08/2022,Kanyon
I289905,252,Cosmetics,4,162.64,Cash,21/10/2021,Kanyon
I416544,882,Food & Beverage,2,10.46,Credit Card,28/05/2022,Metrocity
I601026,927,Souvenir,5,58.65,Credit Card,5/3/2022,Zorlu Center
I257890,1080,Shoes,1,600.17,Cash,5/10/2021,Kanyon
I260028,198,Clothing,4,1200.32,Cash,16/04/2021,Metropol AVM
I170160,1937,Toys,2,71.68,Debit Card,26/02/2023,Metrocity
I624164,32,Clothing,1,300.08,Cash,20/03/2021,Kanyon
I143353,259,Souvenir,5,58.65,Cash,15/05/2022,Metrocity
I278401,416,Toys,1,35.84,Debit Card,31/01/2023,Mall of Istanbul
I402966,4948,Cosmetics,4,162.64,Debit Card,2/10/2021,Viaport Outlet
I244241,326,Clothing,5,1500.4,Credit Card,3/8/2022,Viaport Outlet
I179048,119,Technology,3,3150.0,Debit Card,28/03/2021,Cevahir AVM
I165202,507,Cosmetics,4,162.64,Cash,21/11/2022,Mall of Istanbul
I328321,1239,Souvenir,2,23.46,Credit Card,12/2/2021,Metropol AVM
I417106,1236,Clothing,3,900.24,Cash,3/4/2021,Cevahir AVM
I248153,2420,Food & Beverage,1,5.23,Cash,3/7/2022,Metropol AVM
I112270,917,Food & Beverage,4,20.92,Cash,14/02/2021,Mall of Istanbul
I318831,1079,Cosmetics,4,162.64,Credit Card,15/07/2022,Viaport Outlet
I258322,611,Clothing,4,1200.32,Cash,12/7/2021,Viaport Outlet
I334246,3674,Cosmetics,3,121.98,Cash,19/05/2022,Mall of Istanbul
I198233,644,Cosmetics,4,162.64,Cash,13/02/2023,Metropol AVM
I310819,307,Cosmetics,5,203.3,Credit Card,27/11/2022,Forum Istanbul
I409288,425,Food & Beverage,3,15.69,Cash,2/3/2021,Viaport Outlet
I131054,3209,Toys,4,143.36,Cash,16/10/2021,Kanyon
I149521,1911,Clothing,2,600.16,Cash,4/11/2021,Kanyon
I156233,647,Clothing,1,300.08,Credit Card,11/1/2023,Mall of Istanbul
I295784,253,Cosmetics,3,121.98,Credit Card,8/6/2022,Forum Istanbul
I255381,2140,Clothing,4,1200.32,Debit Card,24/05/2021,Metrocity
I337719,1807,Cosmetics,5,203.3,Cash,18/01/2021,Istinye Park
I220863,250,Books,4,60.6,Cash,22/07/2021,Mall of Istanbul
I530401,1128,Technology,2,2100.0,Cash,25/09/2022,Zorlu Center
I219555,2211,Clothing,3,900.24,Credit Card,10/9/2021,Metrocity
I316629,548,Souvenir,3,35.19,Cash,16/01/2022,Cevahir AVM
I795251,1299,Cosmetics,5,203.3,Cash,13/11/2022,Kanyon
I151099,2474,Souvenir,2,23.46,Credit Card,14/03/2021,Mall of Istanbul
I286193,507,Cosmetics,3,121.98,Cash,23/07/2022,Istinye Park
I399563,1221,Toys,1,35.84,Cash,24/06/2021,Metropol AVM
I229355,330,Shoes,5,3000.85,Credit Card,30/01/2021,Kanyon
I147727,880,Books,1,15.15,Credit Card,17/04/2022,Kanyon
I504141,531,Cosmetics,1,40.66,Credit Card,23/02/2023,Kanyon
I246151,392,Books,3,45.45,Debit Card,5/7/2021,Metropol AVM
I164675,262,Books,5,75.75,Cash,31/08/2021,Kanyon
I606511,864,Souvenir,2,23.46,Credit Card,9/9/2022,Viaport Outlet
I342816,366,Food & Beverage,2,10.46,Cash,4/11/2021,Mall of Istanbul
I151764,325,Clothing,5,1500.4,Cash,30/06/2022,Kanyon
I226172,825,Shoes,1,600.17,Cash,24/07/2021,Kanyon
I737630,144,Clothing,5,1500.4,Cash,15/04/2022,Metropol AVM
I891311,91,Food & Beverage,2,10.46,Debit Card,25/09/2021,Metropol AVM
I127733,1298,Books,5,75.75,Cash,24/08/2021,Kanyon
I202398,149,Shoes,5,3000.85,Cash,26/01/2021,Zorlu Center
I160585,137,Cosmetics,2,81.32,Cash,5/2/2022,Metropol AVM
I771414,420,Food & Beverage,3,15.69,Cash,9/12/2022,Forum Istanbul
I139520,1126,Clothing,5,1500.4,Cash,14/02/2021,Mall of Istanbul
I291540,727,Food & Beverage,1,5.23,Debit Card,17/07/2022,Kanyon
I798213,974,Shoes,3,1800.51,Cash,3/1/2021,Metropol AVM
I232338,962,Clothing,4,1200.32,Debit Card,22/09/2022,Metropol AVM
I267713,812,Cosmetics,4,162.64,Credit Card,27/06/2021,Kanyon
I525798,1587,Cosmetics,4,162.64,Cash,3/2/2023,Mall of Istanbul
I353272,3460,Clothing,1,300.08,Credit Card,29/07/2021,Istinye Park
I165687,902,Clothing,3,900.24,Cash,8/12/2022,Metropol AVM
I169015,1270,Clothing,5,1500.4,Credit Card,11/8/2022,Mall of Istanbul
I111305,281,Food & Beverage,3,15.69,Cash,13/09/2021,Metropol AVM
I187171,439,Toys,4,143.36,Credit Card,27/05/2022,Istinye Park
I148276,13,Clothing,4,1200.32,Debit Card,7/12/2022,Zorlu Center
I783231,1259,Clothing,5,1500.4,Debit Card,5/1/2022,Cevahir AVM
I313426,3161,Cosmetics,4,162.64,Debit Card,5/4/2022,Kanyon
I112291,60,Food & Beverage,1,5.23,Credit Card,10/1/2022,Cevahir AVM
I402983,156,Technology,1,1050.0,Debit Card,30/01/2022,Kanyon
I155076,2841,Toys,5,179.2,Credit Card,21/12/2022,Kanyon
I204056,401,Clothing,4,1200.32,Credit Card,24/02/2021,Metropol AVM
I218385,501,Toys,1,35.84,Cash,19/07/2022,Metrocity
I198698,213,Clothing,1,300.08,Debit Card,15/01/2023,Metropol AVM
I428118,390,Shoes,2,1200.34,Credit Card,12/1/2023,Kanyon
I204147,372,Shoes,3,1800.51,Credit Card,5/11/2022,Kanyon
I361028,267,Shoes,2,1200.34,Cash,23/07/2021,Metrocity
I915945,2243,Clothing,4,1200.32,Credit Card,30/06/2022,Metropol AVM
I165461,4,Clothing,1,300.08,Credit Card,1/11/2022,Emaar Square Mall
I762381,586,Shoes,1,600.17,Cash,27/10/2022,Kanyon
I818298,1513,Clothing,5,1500.4,Debit Card,21/08/2022,Kanyon
I261290,503,Clothing,3,900.24,Credit Card,13/03/2021,Cevahir AVM
I215578,382,Cosmetics,2,81.32,Credit Card,4/8/2022,Kanyon
I136666,919,Food & Beverage,2,10.46,Credit Card,1/4/2021,Mall of Istanbul
I120948,542,Shoes,4,2400.68,Debit Card,8/8/2021,Mall of Istanbul
I173679,17,Technology,3,3150.0,Credit Card,28/06/2021,Viaport Outlet
I638275,659,Clothing,5,1500.4,Credit Card,25/01/2021,Emaar Square Mall
I551237,1147,Clothing,4,1200.32,Cash,22/11/2021,Metropol AVM
I239285,3374,Cosmetics,3,121.98,Credit Card,13/11/2022,Viaport Outlet
I723062,2257,Clothing,4,1200.32,Credit Card,12/8/2022,Kanyon
I353329,781,Toys,2,71.68,Credit Card,18/09/2022,Metrocity
I321920,1550,Clothing,4,1200.32,Cash,8/6/2021,Mall of Istanbul
I176115,1208,Cosmetics,4,162.64,Cash,30/08/2021,Viaport Outlet
I251743,78,Toys,3,107.52,Debit Card,19/06/2022,Kanyon
I964173,848,Clothing,3,900.24,Debit Card,15/12/2022,Emaar Square Mall
I334389,807,Cosmetics,2,81.32,Cash,29/12/2021,Mall of Istanbul
I251855,1126,Cosmetics,3,121.98,Credit Card,19/06/2022,Cevahir AVM
I985808,965,Books,5,75.75,Cash,16/06/2021,Emaar Square Mall
I224565,151,Shoes,1,600.17,Cash,7/2/2021,Emaar Square Mall
I239703,492,Food & Beverage,3,15.69,Credit Card,17/01/2023,Kanyon
I156413,252,Cosmetics,5,203.3,Debit Card,20/01/2022,Metrocity
I158683,1225,Souvenir,2,23.46,Debit Card,31/07/2022,Metrocity
I983860,775,Shoes,1,600.17,Credit Card,30/09/2021,Metropol AVM
I119809,2294,Food & Beverage,1,5.23,Debit Card,6/4/2022,Zorlu Center
I319942,259,Cosmetics,5,203.3,Debit Card,14/11/2022,Mall of Istanbul
I133278,93,Clothing,3,900.24,Credit Card,24/02/2021,Metrocity
I252084,214,Souvenir,4,46.92,Cash,25/05/2021,Metrocity
I182889,919,Clothing,2,600.16,Credit Card,22/03/2021,Metrocity
I106271,1157,Clothing,1,300.08,Debit Card,22/12/2022,Mall of Istanbul
I112481,122,Food & Beverage,5,26.15,Cash,7/7/2021,Cevahir AVM
I240751,7944,Food & Beverage,1,5.23,Credit Card,18/09/2021,Kanyon
I282789,217,Cosmetics,2,81.32,Cash,18/02/2022,Istinye Park
I676291,1580,Food & Beverage,2,10.46,Cash,13/06/2021,Metropol AVM
I827069,701,Toys,5,179.2,Cash,30/05/2021,Mall of Istanbul
I242823,2105,Clothing,4,1200.32,Debit Card,26/03/2021,Metropol AVM
I208631,150,Technology,2,2100.0,Credit Card,27/07/2022,Kanyon
I139308,4750,Souvenir,2,23.46,Credit Card,6/4/2022,Emaar Square Mall
I177201,790,Clothing,5,1500.4,Cash,4/2/2022,Forum Istanbul
I263818,24,Souvenir,4,46.92,Cash,26/06/2022,Zorlu Center
I174966,462,Food & Beverage,5,26.15,Cash,25/07/2022,Mall of Istanbul
I186896,64,Toys,1,35.84,Credit Card,19/09/2021,Zorlu Center
I207465,613,Clothing,2,600.16,Cash,10/10/2022,Istinye Park
I191148,104,Technology,2,2100.0,Credit Card,29/03/2022,Forum Istanbul
I159487,445,Clothing,1,300.08,Cash,9/7/2021,Emaar Square Mall
I215141,1568,Souvenir,1,11.73,Cash,25/01/2022,Kanyon
I235828,1431,Books,5,75.75,Cash,14/12/2021,Metrocity
I281274,433,Clothing,1,300.08,Cash,4/9/2022,Kanyon
I135898,2640,Toys,2,71.68,Debit Card,14/08/2022,Metropol AVM
I943072,518,Cosmetics,2,81.32,Cash,3/2/2022,Metrocity
I142738,437,Clothing,4,1200.32,Credit Card,3/1/2021,Kanyon
I304665,329,Food & Beverage,5,26.15,Credit Card,5/12/2021,Metropol AVM
I133240,419,Toys,3,107.52,Credit Card,14/06/2022,Zorlu Center
I215906,381,Clothing,4,1200.32,Debit Card,13/08/2021,Mall of Istanbul
I247747,1884,Shoes,2,1200.34,Cash,11/1/2022,Istinye Park
I227154,5929,Cosmetics,3,121.98,Cash,22/12/2021,Kanyon
I133197,1374,Cosmetics,2,81.32,Credit Card,4/2/2021,Forum Istanbul
I542618,60,Cosmetics,3,121.98,Debit Card,22/02/2022,Emaar Square Mall
I522612,202,Toys,3,107.52,Cash,14/09/2021,Kanyon
I336817,346,Clothing,1,300.08,Cash,3/8/2021,Cevahir AVM
I216982,3177,Souvenir,4,46.92,Cash,2/1/2023,Metrocity
I317443,2251,Toys,1,35.84,Credit Card,23/11/2022,Mall of Istanbul
I115679,361,Clothing,1,300.08,Cash,10/1/2023,Kanyon
I227707,1665,Shoes,4,2400.68,Cash,10/1/2022,Viaport Outlet
I238456,943,Food & Beverage,1,5.23,Cash,6/8/2022,Kanyon
I940840,149,Cosmetics,2,81.32,Cash,19/02/2023,Istinye Park
I298805,941,Food & Beverage,3,15.69,Credit Card,29/06/2021,Kanyon
I169894,916,Clothing,2,600.16,Cash,1/7/2021,Istinye Park
I183571,272,Food & Beverage,1,5.23,Credit Card,7/2/2022,Metrocity
I921232,1022,Toys,2,71.68,Cash,10/10/2021,Cevahir AVM
I130799,533,Clothing,3,900.24,Credit Card,30/06/2021,Metrocity
I199384,980,Books,4,60.6,Credit Card,24/03/2022,Kanyon
I300557,342,Cosmetics,3,121.98,Debit Card,17/09/2022,Istinye Park
I162186,1779,Cosmetics,2,81.32,Debit Card,31/07/2021,Istinye Park
I299125,463,Souvenir,4,46.92,Credit Card,21/11/2022,Kanyon
I720017,1001,Food & Beverage,2,10.46,Credit Card,4/9/2022,Kanyon
I293086,662,Cosmetics,3,121.98,Credit Card,18/02/2021,Kanyon
I995407,1205,Souvenir,3,35.19,Cash,21/03/2021,Metropol AVM
I306845,339,Food & Beverage,4,20.92,Credit Card,2/9/2022,Mall of Istanbul
I274190,2175,Toys,3,107.52,Cash,16/06/2021,Metropol AVM
I305432,11,Toys,3,107.52,Credit Card,26/01/2023,Mall of Istanbul
I224122,155,Clothing,5,1500.4,Credit Card,1/7/2022,Mall of Istanbul
I119142,1212,Cosmetics,5,203.3,Debit Card,25/01/2023,Cevahir AVM
I117526,207,Cosmetics,5,203.3,Credit Card,23/09/2022,Emaar Square Mall
I195735,1367,Clothing,1,300.08,Credit Card,8/9/2021,Kanyon
I243930,156,Technology,3,3150.0,Debit Card,31/10/2022,Istinye Park
I320007,409,Clothing,5,1500.4,Debit Card,18/10/2021,Metrocity
I339004,3018,Clothing,4,1200.32,Credit Card,15/07/2022,Mall of Istanbul
I139437,653,Souvenir,5,58.65,Credit Card,31/05/2021,Mall of Istanbul
I325491,1437,Shoes,2,1200.34,Cash,22/12/2021,Kanyon
I332582,1239,Souvenir,5,58.65,Cash,28/10/2022,Metropol AVM
I976566,19,Cosmetics,1,40.66,Cash,13/06/2021,Forum Istanbul
I420592,730,Food & Beverage,4,20.92,Debit Card,25/09/2022,Kanyon
I312499,1625,Books,1,15.15,Credit Card,18/08/2021,Mall of Istanbul
I304591,1300,Food & Beverage,2,10.46,Debit Card,16/09/2021,Kanyon
I122118,265,Cosmetics,5,203.3,Cash,15/11/2022,Metrocity
I297539,109,Food & Beverage,3,15.69,Credit Card,7/8/2021,Mall of Istanbul
I339496,627,Clothing,1,300.08,Debit Card,25/05/2021,Metropol AVM
I160687,269,Clothing,2,600.16,Debit Card,12/7/2022,Istinye Park
